Ort;Plz
Ascha;94347
Aschaffenburg;63739
Aschaffenburg;63741
Aschaffenburg;63743
Aschara;99958
Aschau;7426
Aschau;83229
Aschau;84544
Aschbach;67753
Aschbach;83739
Ascheberg;24326
Ascheberg;59387
Ascheffel;24358
Aschendorf;26871
Aschenhausen;98634
Aschenhütte;37412
Aschersleben;6449
Aschheim;85609
Aseleben;6317
Asendorf;21271
Asendorf;27330
Aspach;71546
Aspach;99880
Aspelhorn;21388
Aspenstedt;38822
Asperg;71679
Aspisheim;55459
Assamstadt;97959
Asselfingen;89176
Aßlar;35614
Aßling;85617
Ast;83565
Ast;93449
Astert;57627
Ateritz;6901
Athenstedt;38822
Attendorn;57439
Attenhausen;56370
Attenhofen;84091
Attenkirchen;85395
Attenweiler;88448
Atterwasch;3172
Atting;94348
Atzelgift;57629
Atzendorf;39443
Atzlbach;83364
Au;76474
Au;79280
Au;83364
Au;83546
Au;84072
Aub;97239
Aubstadt;97633
Audenhain;4838
Auderath;56766
Aue;8280
Aue a Berg;7318
Auel;56357
Auen;55569
Auenwald;71549
Auerbach;8209
Auerbach;9392
Auerbach;91275
Auerbach;94530
Auerberg;95703
Auerstedt;99518
Auetal;31749
Aufhausen;93089
Aufkirchen;82282
Aufseß;91347
Auggen;79424
Augsburg;86150
Augsburg;86152
Augsburg;86153
Augsburg;86154
Augsburg;86156
Augsburg;86157
Augsburg;86159
Augsburg;86161
Augsburg;86163
Augsburg;86165
Augsburg;86167
Augsburg;86169
Augsburg;86179
Augsburg;86199
Augsdorf;6308
Augustdorf;32832
Augustusburg;9573
Auhagen;31553
Auhausen;86736
Auhof;74564
Aukrug;24613
Auleben;99765
Aulendorf;88326
Aull;65582
Aulosen;39615
Auma;7955
Aumühle;21521
Aura;97717
Aura;97773
Aurach;91589
Aurachtal;91086
Aurich;26603
Aurich;26605
Aurich;26607
Ausacker;24975
Ausleben;39393
Außernzell;94532
Authausen;4849
Auufer;25548
Auw;54597
Auw;54664
Auwies;94568
Aventoft;25927
Averlak;25715
Axien;6922
Axstedt;27729
Aying;85653
Ayl;54441
Aystetten;86482
Azmannsdorf;99198
Azmannsdorf;99198
Baabe;18586
Baalberge;6408
Baar;56729
Baar;86674
Baar-Ebenhausen;85107
Baarz;19309
Baasdorf;6388
Babben;3246
Bäbelin;23992
Baben;39596
Babenhausen;64832
Babenhausen;87727
Babensham;83547
Babke;17237
Babst;23992
Bach;4828
Bach;83364
Bach;83739
Bach;93090
Bacharach;55422
Bachenberg;57610
Bachfeld;96528
Bachhagel;89429
Bächingen;89431
Bachzelten;84428
Backnang;71522
Bad Abbach;93077
Bad Aibling;83043
